#chr	start	stop	name	score	strand	p.value
chr1	1196930	1197149	site95	16.1935	-	1.66e-06
chr1	1247127	1247346	site96	14.5	+	4.63e-06
chr1	1250262	1250481	site97	14.8065	-	3.88e-06
chr1	1254398	1254617	site98	14.9194	+	3.63e-06
chr1	1259591	1259810	site99	16.1613	-	1.7e-06
chr1	1267686	1267905	site100	14.0484	+	5.99e-06
chr1	1280726	1280945	site101	15.3065	+	2.88e-06
chr1	1286381	1286600	site102	14.4516	-	4.76e-06
chr1	1287607	1287826	site103	16.7903	-	1.13e-06
chr1	1291917	1292136	site104	15.2097	-	3.05e-06
chr1	1302015	1302234	site105	21.4516	+	2.71e-08
chr1	1310086	1310305	site106	16.2258	+	1.63e-06
chr1	1312878	1313097	site107	16.1613	+	1.7e-06
chr1	1320553	1320772	site108	14.5806	+	4.42e-06
chr1	1322566	1322785	site109	16.2903	+	1.56e-06
chr1	1347639	1347858	site110	13.6452	-	7.5e-06
chr1	1349311	1349530	site111	13.2419	+	9.34e-06
chr1	1349849	1350068	site112	20.4516	+	6.9e-08
chr1	1357277	1357496	site113	16.1613	-	1.7e-06
chr1	1360175	1360394	site114	13.8065	+	6.86e-06
chr1	1372123	1372342	site115	15.1129	-	3.23e-06
chr1	1381173	1381392	site116	13.1452	-	9.84e-06
chr1	1381640	1381859	site117	13.3065	+	9.02e-06
chr1	1402058	1402277	site118	18.9516	-	2.41e-07
chr1	1425628	1425847	site119	18.3548	+	3.78e-07
chr1	1436522	1436741	site120	13.1613	-	9.76e-06
chr1	1440966	1441185	site121	19.2742	-	1.87e-07
chr1	1441651	1441870	site122	14.6935	+	4.14e-06
chr1	1457103	1457322	site123	13.9032	+	6.5e-06
chr1	1487837	1488056	site124	13.3548	+	8.79e-06
chr1	1505542	1505761	site125	14.8065	-	3.88e-06
chr1	1548081	1548300	site126	15.3065	+	2.88e-06
chr1	1620156	1620375	site127	13.871	-	6.62e-06
chr1	1622475	1622694	site128	16.0323	-	1.84e-06
chr1	1644963	1645182	site129	16.629	+	1.25e-06
chr1	1665765	1665984	site130	17.0484	-	9.48e-07
chr1	1692853	1693072	site131	15.4677	-	2.61e-06
chr1	1712101	1712320	site132	16.629	+	1.25e-06
chr1	1789112	1789331	site133	15.3065	+	2.88e-06
chr1	1796545	1796764	site134	13.1774	-	9.67e-06
chr1	1841820	1842039	site135	15.2419	+	2.99e-06
chr1	1858683	1858902	site136	14.629	+	4.3e-06
chr1	1891851	1892070	site137	13.4516	-	8.34e-06
chr1	1909028	1909247	site138	14.4677	-	4.72e-06
chr1	1944059	1944278	site139	13.1452	+	9.84e-06
chr1	1946091	1946310	site140	15.4194	-	2.69e-06
chr1	1955277	1955496	site141	14.4194	+	4.85e-06
chr1	1960115	1960334	site142	13.9839	+	6.21e-06
chr1	1960430	1960649	site143	13.5645	+	7.84e-06
chr1	1971740	1971959	site144	15.1774	+	3.11e-06
chr1	1974343	1974562	site145	14.9516	-	3.56e-06
chr1	2043457	2043676	site146	16.7419	-	1.16e-06
chr1	2044892	2045111	site147	16.7258	-	1.18e-06
chr1	2046535	2046754	site148	18.8065	-	2.69e-07
chr1	2054740	2054959	site149	15.129	+	3.2e-06
chr1	2079981	2080200	site150	13.5484	-	7.91e-06
chr1	2093108	2093327	site151	17.0645	-	9.38e-07
chr1	2109150	2109369	site152	14.5	-	4.63e-06
chr1	2109182	2109401	site153	15.1613	+	3.14e-06
chr1	2112954	2113173	site154	14.1613	-	5.62e-06
chr1	2139825	2140044	site155	15.8065	-	2.12e-06
chr1	2140028	2140247	site156	16.7903	-	1.13e-06
chr1	2154941	2155160	site157	13.1452	+	9.84e-06
chr1	2156895	2157114	site158	13.9839	-	6.21e-06
chr1	2164373	2164592	site159	14.0968	+	5.83e-06
chr1	2174355	2174574	site160	24	-	1.04e-09
chr1	2188367	2188586	site161	13.2097	-	9.51e-06
chr1	2195248	2195467	site162	14.7742	+	3.95e-06
chr1	2227443	2227662	site163	13.4194	-	8.48e-06
chr1	2291387	2291606	site164	13.5161	-	8.05e-06
chr1	2326585	2326804	site165	17.1935	-	8.59e-07
chr1	2332105	2332324	site166	13.6452	+	7.5e-06
chr1	2368618	2368837	site167	14.9839	+	3.49e-06
chr1	2381271	2381490	site168	13.2742	+	9.18e-06
chr1	2381814	2382033	site169	19.8548	-	1.16e-07
chr1	2414452	2414671	site170	19.371	+	1.73e-07
chr1	2430129	2430348	site171	19.1613	+	2.05e-07
chr1	2432240	2432459	site172	13.9677	+	6.27e-06
chr1	2463060	2463279	site173	15.0323	+	3.39e-06
chr1	2484361	2484580	site174	13.5645	+	7.84e-06
chr1	2484496	2484715	site175	13.129	+	9.93e-06
chr1	2490820	2491039	site176	13.1613	-	9.76e-06
chr1	2502448	2502667	site177	13.2258	+	9.42e-06
chr1	2510987	2511206	site178	14.129	+	5.72e-06
chr1	2513938	2514157	site179	15.0161	-	3.43e-06
chr1	2518651	2518870	site180	14.0968	+	5.83e-06
chr1	2523747	2523966	site181	13.8871	-	6.56e-06
chr1	2548085	2548304	site182	23.4032	-	2.73e-09
chr1	2555345	2555564	site183	14.2419	+	5.37e-06
chr1	2578518	2578737	site184	14.5484	-	4.5e-06
chr1	2583860	2584079	site185	14.8387	-	3.8e-06
chr1	2639156	2639375	site186	13.7419	-	7.11e-06
chr1	2645210	2645429	site187	13.5161	+	8.05e-06
chr1	2701836	2702055	site188	16.2419	-	1.61e-06
chr1	2786697	2786916	site189	22.0968	-	1.4e-08
chr1	2822060	2822279	site190	18.0161	+	4.83e-07
chr1	2845675	2845894	site191	14.6774	+	4.18e-06
chr1	2859897	2860116	site192	16.6935	-	1.2e-06
chr1	2862850	2863069	site193	15.3871	+	2.74e-06
chr1	2863303	2863522	site194	13.5161	+	8.05e-06
chr1	2867798	2868017	site195	13.2742	+	9.18e-06
chr1	2867923	2868142	site196	15.6452	+	2.34e-06
chr1	2868225	2868444	site197	13.7742	+	6.98e-06
chr1	2875501	2875720	site198	13.129	-	9.93e-06
chr1	2876003	2876222	site199	13.6129	+	7.63e-06
chr1	2890127	2890346	site200	14.3548	-	5.04e-06
chr1	2900096	2900315	site201	13.4516	+	8.34e-06
chr1	2913303	2913522	site202	13.9839	+	6.21e-06
chr1	2919631	2919850	site203	15.1613	-	3.14e-06
chr1	2922103	2922322	site204	15.9839	-	1.9e-06
chr1	2923478	2923697	site205	13.4516	-	8.34e-06
chr1	2932294	2932513	site206	13.7258	+	7.17e-06
chr1	2932399	2932618	site207	13.7258	+	7.17e-06
chr1	2932441	2932660	site208	14.371	+	4.99e-06
chr1	2973207	2973426	site209	14.8871	-	3.7e-06
chr1	3016929	3017148	site210	14.2903	+	5.22e-06
chr1	3026919	3027138	site211	13.6613	-	7.43e-06
chr1	3028263	3028482	site212	13.7903	-	6.92e-06
chr1	3062042	3062261	site213	14.1452	+	5.67e-06
chr1	3085682	3085901	site214	13.2097	+	9.51e-06
chr1	3097491	3097710	site215	15.2097	-	3.05e-06
chr1	3116340	3116559	site216	13.9839	+	6.21e-06
chr1	3172144	3172363	site217	14.0161	+	6.1e-06
chr1	3172537	3172756	site218	14.6129	-	4.34e-06
chr1	3174001	3174220	site219	14.0323	-	6.05e-06
chr1	3224282	3224501	site220	14.0645	-	5.94e-06
chr1	3252109	3252328	site221	13.9516	-	6.33e-06
chr1	3305020	3305239	site222	14.5161	+	4.59e-06
chr1	3320024	3320243	site223	13.129	-	9.93e-06
chr1	3326572	3326791	site224	13.2903	-	9.1e-06
chr1	3326696	3326915	site225	14.9032	+	3.66e-06
chr1	3329700	3329919	site226	16.0484	-	1.82e-06
chr1	3345737	3345956	site227	13.5	-	8.12e-06
chr1	3350885	3351104	site228	14.0968	+	5.83e-06
chr1	3357642	3357861	site229	14.7581	+	3.99e-06
chr1	3362604	3362823	site230	13.1452	-	9.84e-06
chr1	3380252	3380471	site231	15.0968	+	3.27e-06
chr1	3403394	3403613	site232	14.1935	+	5.52e-06
chr1	3403437	3403656	site233	18.8226	+	2.66e-07
chr1	3410219	3410438	site234	13.8065	-	6.86e-06
chr1	3417188	3417407	site235	14.871	-	3.73e-06
chr1	3417190	3417409	site236	16.0806	+	1.79e-06
chr1	3418258	3418477	site237	14.371	-	4.99e-06
chr1	3424768	3424987	site238	18.2742	-	4.01e-07
chr1	3431333	3431552	site239	16.4516	+	1.41e-06
chr1	3432998	3433217	site240	15.1774	+	3.11e-06
chr1	3440388	3440607	site241	15.7742	+	2.16e-06
chr1	3459692	3459911	site242	13.629	-	7.57e-06
chr1	3471857	3472076	site243	15.9839	-	1.9e-06
chr1	3483936	3484155	site244	13.629	-	7.57e-06
chr1	3489158	3489377	site245	14.2097	-	5.47e-06
chr1	3491288	3491507	site246	16.5	+	1.36e-06
chr1	3506444	3506663	site247	18.7903	-	2.73e-07
chr1	3518273	3518492	site248	19.4839	+	1.58e-07
chr1	3524908	3525127	site249	18.9032	+	2.5e-07
chr1	3527315	3527534	site250	13.9032	-	6.5e-06
chr1	3534750	3534969	site251	13.4516	-	8.34e-06
chr1	3535956	3536175	site252	17.0806	-	9.27e-07
chr1	3551275	3551494	site253	13.9839	+	6.21e-06
chr1	3556342	3556561	site254	14.2258	+	5.42e-06
chr1	3565302	3565521	site255	19.9677	+	1.05e-07
chr1	3577270	3577489	site256	14.9839	+	3.49e-06
chr1	3587782	3588001	site257	18.7581	+	2.8e-07
chr1	3587802	3588021	site258	18.7581	+	2.8e-07
chr1	3587822	3588041	site259	16.371	+	1.48e-06
chr1	3587872	3588091	site260	18.7581	+	2.8e-07
chr1	3587892	3588111	site261	16.371	+	1.48e-06
chr1	3587932	3588151	site262	18.7581	+	2.8e-07
chr1	3587982	3588201	site263	18.7581	+	2.8e-07
chr1	3588002	3588221	site264	18.7581	+	2.8e-07
chr1	3588082	3588301	site265	19.4355	+	1.64e-07
chr1	3588152	3588371	site266	19.4355	+	1.64e-07
chr1	3588222	3588441	site267	18.7581	+	2.8e-07
chr1	3588242	3588461	site268	18.7581	+	2.8e-07
chr1	3588272	3588491	site269	18.7581	+	2.8e-07
chr1	3588292	3588511	site270	18.7581	+	2.8e-07
chr1	3588322	3588541	site271	18.7581	+	2.8e-07
chr1	3588342	3588561	site272	16.371	+	1.48e-06
chr1	3588382	3588601	site273	18.7581	+	2.8e-07
chr1	3588432	3588651	site274	18.7581	+	2.8e-07
chr1	3612156	3612375	site275	13.2742	+	9.18e-06
chr1	3615219	3615438	site276	15.9032	-	2e-06
chr1	3619082	3619301	site277	17.2258	-	8.4e-07
chr1	3621230	3621449	site278	14.8065	-	3.88e-06
chr1	3625702	3625921	site279	14.6774	+	4.18e-06
chr1	3685030	3685249	site280	13.4355	+	8.41e-06
chr1	3712708	3712927	site281	14.9839	+	3.49e-06
chr1	3718828	3719047	site282	13.2581	-	9.26e-06
chr1	3724482	3724701	site283	21.6129	-	2.31e-08
chr1	3801535	3801754	site284	14.8065	-	3.88e-06
chr1	3810962	3811181	site285	21.0484	-	4e-08
chr1	3834803	3835022	site286	13.4355	+	8.41e-06
chr1	3867277	3867496	site287	13.1935	-	9.59e-06
chr1	3891212	3891431	site288	14.129	-	5.72e-06
chr1	3904883	3905102	site289	13.7258	+	7.17e-06
chr1	3910852	3911071	site290	13.4355	+	8.41e-06
chr1	3981767	3981986	site291	16.4677	+	1.39e-06
chr1	3997500	3997719	site292	13.3226	+	8.94e-06
chr1	4034339	4034558	site293	13.8871	-	6.56e-06
chr1	4034510	4034729	site294	16.5645	-	1.31e-06
chr1	4048402	4048621	site295	13.1452	-	9.84e-06
chr1	4126666	4126885	site296	14.4032	-	4.9e-06
chr1	4142152	4142371	site297	15.0484	+	3.36e-06
chr1	4170171	4170390	site298	13.8226	+	6.8e-06
chr1	4173236	4173455	site299	14.5161	+	4.59e-06
chr1	4178710	4178929	site300	17	-	9.79e-07
chr1	4317324	4317543	site301	17.3548	+	7.69e-07
chr1	4355013	4355232	site302	15.7258	+	2.23e-06
chr1	4367594	4367813	site303	14.5484	-	4.5e-06
chr1	4428342	4428561	site304	14.5323	-	4.55e-06
chr1	4455796	4456015	site305	16.3387	+	1.51e-06
chr1	4469616	4469835	site306	13.2097	+	9.51e-06
chr1	4488230	4488449	site307	13.4194	-	8.48e-06
chr1	4494644	4494863	site308	15.4516	+	2.64e-06
chr1	4555624	4555843	site309	13.2903	+	9.1e-06
chr1	4558416	4558635	site310	14.1613	-	5.62e-06
chr1	4563780	4563999	site311	15.9355	+	1.96e-06
chr1	4573783	4574002	site312	13.2419	-	9.34e-06
chr1	4594419	4594638	site313	14.7742	-	3.95e-06
chr1	4611712	4611931	site314	14.6935	-	4.14e-06
chr1	4617880	4618099	site315	15.6613	-	2.32e-06
chr1	4622903	4623122	site316	15.0161	-	3.43e-06
chr1	4652644	4652863	site317	15.629	+	2.37e-06
chr1	4684382	4684601	site318	14.0484	+	5.99e-06
chr1	4691348	4691567	site319	14.0323	-	6.05e-06
chr1	4741227	4741446	site320	13.1774	-	9.67e-06
chr1	4742110	4742329	site321	14.5161	-	4.59e-06
chr1	4742776	4742995	site322	14.0968	-	5.83e-06
chr1	4768616	4768835	site323	13.9516	-	6.33e-06
chr1	4778055	4778274	site324	14.6452	+	4.26e-06
chr1	4778895	4779114	site325	13.3548	+	8.79e-06
chr1	4826157	4826376	site326	15.1935	-	3.08e-06
chr1	4847915	4848134	site327	14.8226	+	3.84e-06
chr1	4908700	4908919	site328	15.3871	-	2.74e-06
chr1	4937556	4937775	site329	13.8226	+	6.8e-06
chr1	4949735	4949954	site330	15.5484	-	2.49e-06
chr1	4958962	4959181	site331	13.1774	-	9.67e-06
chr1	5156007	5156226	site332	16.1613	+	1.7e-06
chr1	5173621	5173840	site333	13.4516	+	8.34e-06
chr1	5262032	5262251	site334	14.5484	-	4.5e-06
chr1	5275249	5275468	site335	16.4032	-	1.45e-06
chr1	5275548	5275767	site336	17.371	-	7.61e-07
chr1	5286343	5286562	site337	18.7581	+	2.8e-07
chr1	5286909	5287128	site338	13.2258	+	9.42e-06
chr1	5313418	5313637	site339	16.129	-	1.73e-06
chr1	5336025	5336244	site340	13.4677	-	8.26e-06
chr1	5394215	5394434	site341	15.5806	+	2.44e-06
chr1	5415732	5415951	site342	13.5323	-	7.98e-06
chr1	5426949	5427168	site343	14.2742	-	5.27e-06
chr1	5427326	5427545	site344	13.7903	+	6.92e-06
chr1	5447359	5447578	site345	14.2742	-	5.27e-06
chr1	5482022	5482241	site346	15.8226	-	2.1e-06
chr1	5500455	5500674	site347	15.3065	-	2.88e-06
chr1	5500495	5500714	site348	13.7742	+	6.98e-06
chr1	5509951	5510170	site349	24.1452	+	7.97e-10
chr1	5513348	5513567	site350	13.4032	-	8.56e-06
chr1	5566247	5566466	site351	13.371	+	8.71e-06
chr1	5599479	5599698	site352	15.7903	-	2.14e-06
chr1	5637264	5637483	site353	19.4839	+	1.58e-07
chr1	5648582	5648801	site354	14.3226	-	5.13e-06
chr1	5664584	5664803	site355	13.2419	-	9.34e-06
chr1	5745871	5746090	site356	19.4677	-	1.6e-07
chr1	5779518	5779737	site357	15.371	+	2.77e-06
chr1	5832909	5833128	site358	14.0645	+	5.94e-06
chr1	5844059	5844278	site359	15.4516	-	2.64e-06
chr1	5844966	5845185	site360	13.3871	+	8.64e-06
chr1	5864682	5864901	site361	17.9194	+	5.18e-07
chr1	5881820	5882039	site362	13.9194	-	6.44e-06
chr1	5893757	5893976	site363	14.8065	-	3.88e-06
chr1	5911770	5911989	site364	13.8387	+	6.74e-06
chr1	5916063	5916282	site365	15.9355	-	1.96e-06
chr1	5946962	5947181	site366	15.1935	+	3.08e-06
chr1	5996341	5996560	site367	14.0968	-	5.83e-06
chr1	6004385	6004604	site368	13.629	-	7.57e-06
chr1	6028656	6028875	site369	19.2097	-	1.97e-07
chr1	6041524	6041743	site370	20.2097	+	8.54e-08
chr1	6048147	6048366	site371	15.2742	-	2.94e-06
chr1	6080668	6080887	site372	16.2097	-	1.64e-06
chr1	6099813	6100032	site373	16.9516	-	1.01e-06
chr1	6104194	6104413	site374	13.5645	+	7.84e-06
chr1	6105932	6106151	site375	14.4839	+	4.68e-06
chr1	6108907	6109126	site376	15.3226	+	2.85e-06
chr1	6110004	6110223	site377	17.7903	-	5.68e-07
chr1	6141687	6141906	site378	14.0484	-	5.99e-06
chr1	6154794	6155013	site379	13.5968	+	7.7e-06
chr1	6156574	6156793	site380	14.5	+	4.63e-06
chr1	6168605	6168824	site381	14.3871	+	4.94e-06
chr1	6171601	6171820	site382	16.9355	-	1.02e-06
chr1	6185870	6186089	site383	18	-	4.89e-07
chr1	6205270	6205489	site384	15.4516	-	2.64e-06
chr1	6209730	6209949	site385	14.3226	+	5.13e-06
chr1	6238710	6238929	site386	20.5	+	6.62e-08
chr1	6242272	6242491	site387	13.4355	+	8.41e-06
chr1	6245116	6245335	site388	18.2258	-	4.15e-07
chr1	6246786	6247005	site389	20.1613	+	8.91e-08
chr1	6252664	6252883	site390	14.1452	+	5.67e-06
chr1	6254732	6254951	site391	14.3226	+	5.13e-06
chr1	6262344	6262563	site392	13.2903	-	9.1e-06
chr1	6277091	6277310	site393	13.6774	-	7.37e-06
chr1	6280372	6280591	site394	15.3065	+	2.88e-06
chr1	6297353	6297572	site395	13.9677	+	6.27e-06
chr1	6297412	6297631	site396	13.6452	-	7.5e-06
chr1	6308464	6308683	site397	13.3226	+	8.94e-06
chr1	6343503	6343722	site398	16.3548	-	1.5e-06
chr1	6348006	6348225	site399	18.8065	+	2.69e-07
chr1	6357329	6357548	site400	16.7258	-	1.18e-06
chr1	6363120	6363339	site401	14.8065	+	3.88e-06
chr1	6374459	6374678	site402	13.2097	-	9.51e-06
chr1	6378169	6378388	site403	14.129	-	5.72e-06
chr1	6397090	6397309	site404	14.8387	-	3.8e-06
chr1	6404735	6404954	site405	15.5161	-	2.54e-06
chr1	6423517	6423736	site406	18.9355	+	2.44e-07
chr1	6437095	6437314	site407	17.8387	-	5.49e-07
chr1	6438091	6438310	site408	15.7742	-	2.16e-06
chr1	6440208	6440427	site409	13.8871	-	6.56e-06
chr1	6440733	6440952	site410	17.3871	-	7.52e-07
chr1	6447278	6447497	site411	13.5	+	8.12e-06
chr1	6448223	6448442	site412	13.1774	-	9.67e-06
chr1	6456871	6457090	site413	13.6129	-	7.63e-06
chr1	6471102	6471321	site414	14.0161	+	6.1e-06
chr1	6472483	6472702	site415	18.1452	-	4.4e-07
chr1	6475572	6475791	site416	22.4516	-	9.54e-09
chr1	6483094	6483313	site417	13.3548	+	8.79e-06
chr1	6486117	6486336	site418	13.7419	+	7.11e-06
chr1	6486535	6486754	site419	18.1613	+	4.35e-07
chr1	6489937	6490156	site420	19.2419	-	1.92e-07
chr1	6510509	6510728	site421	15.1452	-	3.17e-06
chr1	6513459	6513678	site422	15.0968	-	3.27e-06
chr1	6523695	6523914	site423	17.9355	-	5.12e-07
chr1	6554500	6554719	site424	19.129	-	2.1e-07
chr1	6634675	6634894	site425	19.3226	-	1.8e-07
chr1	6640102	6640321	site426	13.4839	-	8.19e-06
chr1	6653555	6653774	site427	14.6452	-	4.26e-06
chr1	6658747	6658966	site428	16.2258	+	1.63e-06
chr1	6664720	6664939	site429	16.9032	-	1.04e-06
chr1	6668412	6668631	site430	13.2903	-	9.1e-06
chr1	6720064	6720283	site431	18.7097	+	2.9e-07
chr1	6764438	6764657	site432	13.5968	-	7.7e-06
chr1	6794232	6794451	site433	13.5	+	8.12e-06
chr1	6889959	6890178	site434	21.1774	-	3.55e-08
chr1	6907260	6907479	site435	13.7581	-	7.05e-06
chr1	6986542	6986761	site436	14.5323	-	4.55e-06
chr1	6998401	6998620	site437	14.6613	+	4.22e-06
chr1	7042793	7043012	site438	20.1774	+	8.79e-08
chr1	7070475	7070694	site439	21.7097	-	2.11e-08
chr1	7094871	7095090	site440	13.3871	-	8.64e-06
chr1	7095718	7095937	site441	13.2097	+	9.51e-06
chr1	7111954	7112173	site442	13.9355	+	6.38e-06
chr1	7120946	7121165	site443	13.1452	-	9.84e-06
chr1	7127418	7127637	site444	16.4516	-	1.41e-06
chr1	7192499	7192718	site445	14.4032	-	4.9e-06
chr1	7192931	7193150	site446	13.8226	-	6.8e-06
chr1	7198745	7198964	site447	13.5161	-	8.05e-06
chr1	7224824	7225043	site448	19.3226	+	1.8e-07
chr1	7232094	7232313	site449	18.2258	+	4.15e-07
chr1	7239469	7239688	site450	13.9677	-	6.27e-06
chr1	7246001	7246220	site451	14.5484	+	4.5e-06
chr1	7258784	7259003	site452	15.7903	+	2.14e-06
chr1	7284932	7285151	site453	16.0484	-	1.82e-06
chr1	7321312	7321531	site454	14.9516	+	3.56e-06
chr1	7342675	7342894	site455	13.8871	-	6.56e-06
chr1	7356146	7356365	site456	16.5161	-	1.35e-06
chr1	7375773	7375992	site457	15.4677	+	2.61e-06
chr1	7405789	7406008	site458	15.6613	+	2.32e-06
chr1	7438085	7438304	site459	14.3548	-	5.04e-06
chr1	7447136	7447355	site460	13.3065	-	9.02e-06
chr1	7470668	7470887	site461	14.0323	-	6.05e-06
chr1	7474905	7475124	site462	15.129	-	3.2e-06
chr1	7476176	7476395	site463	13.9194	+	6.44e-06
chr1	7509024	7509243	site464	13.1452	-	9.84e-06
chr1	7510273	7510492	site465	14.4516	-	4.76e-06
chr1	7533184	7533403	site466	17.0645	-	9.38e-07
chr1	7539808	7540027	site467	18.5	-	3.39e-07
chr1	7561504	7561723	site468	15.8226	-	2.1e-06
chr1	7581775	7581994	site469	15.4032	+	2.72e-06
chr1	7583372	7583591	site470	14.6774	-	4.18e-06
chr1	7583553	7583772	site471	14.0645	+	5.94e-06
chr1	7589006	7589225	site472	13.7419	-	7.11e-06
chr1	7647305	7647524	site473	24.9516	-	1.31e-10
chr1	7667605	7667824	site474	13.4516	+	8.34e-06
chr1	7667661	7667880	site475	13.2419	+	9.34e-06
chr1	7669539	7669758	site476	16.6935	+	1.2e-06
chr1	7672758	7672977	site477	15.7419	-	2.21e-06
chr1	7675857	7676076	site478	15.1129	+	3.23e-06
chr1	7676891	7677110	site479	13.5484	+	7.91e-06
chr1	7681733	7681952	site480	13.8065	-	6.86e-06
chr1	7684178	7684397	site481	14.9194	-	3.63e-06
chr1	7692862	7693081	site482	13.629	-	7.57e-06
chr1	7718081	7718300	site483	13.3387	+	8.86e-06
chr1	7752894	7753113	site484	23.2581	-	3.39e-09
chr1	7755532	7755751	site485	13.1774	-	9.67e-06
chr1	7834371	7834590	site486	13.5	+	8.12e-06
chr1	7856483	7856702	site487	13.4677	-	8.26e-06
chr1	7902833	7903052	site488	19.7742	-	1.24e-07
chr1	7942372	7942591	site489	14.2903	-	5.22e-06
