#chr	start	stop	name	score	strand	p.value
chr1	6562357	6562568	site184	14.6182	+	7.63e-06
chr1	6613873	6614084	site185	15.1273	-	4.53e-06
chr1	6701839	6702050	site186	15.1273	-	4.53e-06
chr1	6899438	6899649	site187	16.7273	-	1.67e-06
chr1	6899439	6899650	site188	14.2182	+	9.54e-06
chr1	7098035	7098246	site189	15.3273	-	3.34e-06
chr1	7448375	7448586	site190	14.6182	-	7.63e-06
chr1	7624101	7624312	site191	14.3091	+	9.3e-06
chr1	7680380	7680591	site192	14.6182	-	7.63e-06
chr1	8026145	8026356	site193	17.7273	-	7.15e-07
chr1	8127225	8127436	site194	14.3091	-	9.3e-06
chr1	8382338	8382549	site195	15.3273	-	3.34e-06
chr1	8458465	8458676	site196	17.9273	-	4.77e-07
chr1	8458466	8458677	site197	17.4182	+	9.54e-07
chr1	8703131	8703342	site198	14.4364	+	8.58e-06
chr1	8879192	8879403	site199	15.1273	-	4.53e-06
chr1	8879193	8879404	site200	17.7273	+	7.15e-07
chr1	9198699	9198910	site201	14.6182	-	7.63e-06
chr1	9428784	9428995	site202	16.4364	-	1.91e-06
chr1	9428785	9428996	site203	17.9273	+	4.77e-07
chr1	9453491	9453702	site204	15.3273	+	3.34e-06
chr1	9652096	9652307	site205	15.7455	+	2.15e-06
chr1	9960797	9961008	site206	15.3273	+	3.34e-06
chr1	10032719	10032930	site207	14.6182	+	7.63e-06
chr1	10210494	10210705	site208	14.5273	+	8.11e-06
chr1	10430586	10430797	site209	15.1273	+	4.53e-06
chr1	10430591	10430802	site210	15.3273	-	3.34e-06
chr1	10796541	10796752	site211	17.4182	-	9.54e-07
chr1	10937188	10937399	site212	14.5455	+	7.87e-06
chr1	11099784	11099995	site213	14.6364	+	6.91e-06
chr1	11658695	11658906	site214	16.7273	-	1.67e-06
chr1	12053399	12053610	site215	14.3091	+	9.3e-06
chr1	12191241	12191452	site216	15.2364	-	3.58e-06
chr1	12196987	12197198	site217	14.3091	-	9.3e-06
chr1	12727912	12728123	site218	14.3091	+	9.3e-06
chr1	13700772	13700983	site219	17.2364	-	1.19e-06
chr1	13700773	13700984	site220	14.2182	+	9.54e-06
chr1	13749085	13749296	site221	14.9273	+	5.48e-06
chr1	13787152	13787363	site222	14.3091	-	9.3e-06
chr1	14924227	14924438	site223	14.6182	-	7.63e-06
chr1	14959613	14959824	site224	14.3091	+	9.3e-06
chr1	15153297	15153508	site225	14.2182	-	9.54e-06
chr1	15153298	15153509	site226	16.7273	+	1.67e-06
chr1	15182261	15182472	site227	14.6182	+	7.63e-06
chr1	15382914	15383125	site228	16.7273	-	1.67e-06
chr1	15382915	15383126	site229	14.7273	+	6.44e-06
chr1	15835753	15835964	site230	17.4182	-	9.54e-07
chr1	15835754	15835965	site231	17.4182	+	9.54e-07
chr1	15835899	15836110	site232	15.1455	-	3.81e-06
chr1	15835981	15836192	site233	14.6182	-	7.63e-06
chr1	15835982	15836193	site234	18.2364	+	2.38e-07
chr1	15837200	15837411	site235	14.4545	+	8.34e-06
chr1	15847413	15847624	site236	14.6182	-	7.63e-06
chr1	15847414	15847625	site237	18.2364	+	2.38e-07
chr1	15847488	15847699	site238	14.6182	-	7.63e-06
chr1	15847489	15847700	site239	17.7273	+	7.15e-07
chr1	15847706	15847917	site240	16.4364	-	1.91e-06
chr1	15932895	15933106	site241	14.3091	-	9.3e-06
chr1	15976025	15976236	site242	16.4364	-	1.91e-06
chr1	15976026	15976237	site243	17.9273	+	4.77e-07
chr1	16226843	16227054	site244	18.2364	-	2.38e-07
chr1	16226844	16227055	site245	15.1273	+	4.53e-06
chr1	16226987	16227198	site246	15.0364	-	5.01e-06
chr1	16352382	16352593	site247	17.4182	-	9.54e-07
chr1	16352383	16352594	site248	16.4364	+	1.91e-06
chr1	16367109	16367320	site249	14.6182	+	7.63e-06
chr1	16499073	16499284	site250	16.7273	-	1.67e-06
chr1	16499074	16499285	site251	14.2182	+	9.54e-06
chr1	16534457	16534668	site252	14.5455	+	7.87e-06
chr1	16613449	16613660	site253	15.1273	-	4.53e-06
chr1	16613450	16613661	site254	16.7455	+	1.43e-06
chr1	16613512	16613723	site255	16.7455	-	1.43e-06
chr1	16613513	16613724	site256	14.6182	+	7.63e-06
chr1	16613585	16613796	site257	14.4545	-	8.34e-06
chr1	16644653	16644864	site258	16.7273	-	1.67e-06
chr1	16644654	16644865	site259	14.7273	+	6.44e-06
chr1	16873264	16873475	site260	14.5455	-	7.87e-06
chr1	16889413	16889624	site261	15.1273	-	4.53e-06
chr1	16914054	16914265	site262	14.2182	-	9.54e-06
chr1	16914055	16914266	site263	16.7273	+	1.67e-06
chr1	16971456	16971667	site264	15.1273	+	4.53e-06
chr1	16974193	16974404	site265	14.8182	+	5.96e-06
chr1	17054099	17054310	site266	14.5455	+	7.87e-06
chr1	17054124	17054335	site267	14.3091	+	9.3e-06
chr1	17134791	17135002	site268	14.6545	+	6.68e-06
chr1	17134796	17135007	site269	17.2364	-	1.19e-06
chr1	17134797	17135008	site270	14.7273	+	6.44e-06
chr1	17272117	17272328	site271	15.2364	+	3.58e-06
chr1	17437571	17437782	site272	14.7273	+	6.44e-06
chr1	17539645	17539856	site273	14.4364	+	8.58e-06
chr1	18108103	18108314	site274	15.0364	-	5.01e-06
chr1	18248893	18249104	site275	15.5455	+	2.86e-06
chr1	18550481	18550692	site276	14.6182	+	7.63e-06
chr1	18591387	18591598	site277	14.3091	+	9.3e-06
chr1	18725900	18726111	site278	14.2182	-	9.54e-06
chr1	18725901	18726112	site279	16.7273	+	1.67e-06
chr1	19210394	19210605	site280	15.0364	+	5.01e-06
chr1	19312031	19312242	site281	17.7273	+	7.15e-07
chr1	19882274	19882485	site282	15.4364	+	3.1e-06
chr1	19882279	19882490	site283	16.7455	-	1.43e-06
chr1	19882280	19882491	site284	14.6182	+	7.63e-06
chr1	20136330	20136541	site285	14.3091	-	9.3e-06
chr1	20223848	20224059	site286	15.2364	-	3.58e-06
chr1	20473198	20473409	site287	15.3273	+	3.34e-06
chr1	20500834	20501045	site288	16.7455	-	1.43e-06
chr1	20552310	20552521	site289	14.3091	+	9.3e-06
chr1	20553416	20553627	site290	14.4364	+	8.58e-06
chr1	20633341	20633552	site291	16.7455	+	1.43e-06
chr1	20633346	20633557	site292	15.1273	-	4.53e-06
chr1	20633347	20633558	site293	18.2364	+	2.38e-07
chr1	20682699	20682910	site294	14.1636	+	9.78e-06
chr1	20720929	20721140	site295	15.5455	+	2.86e-06
chr1	20786711	20786922	site296	15.2364	+	3.58e-06
chr1	21345529	21345740	site297	14.5273	+	8.11e-06
chr1	21384775	21384986	site298	15.2364	+	3.58e-06
chr1	21428136	21428347	site299	14.4364	-	8.58e-06
chr1	21439951	21440162	site300	14.6182	-	7.63e-06
chr1	21439952	21440163	site301	16.7455	+	1.43e-06
chr1	21440015	21440226	site302	16.7455	-	1.43e-06
chr1	21440016	21440227	site303	15.1273	+	4.53e-06
chr1	21440021	21440232	site304	16.7455	-	1.43e-06
chr1	21440022	21440233	site305	15.1273	+	4.53e-06
chr1	21622582	21622793	site306	14.6182	-	7.63e-06
chr1	21622583	21622794	site307	17.7273	+	7.15e-07
chr1	21651640	21651851	site308	16.7273	-	1.67e-06
chr1	21783120	21783331	site309	17.4182	+	9.54e-07
chr1	21926919	21927130	site310	14.6182	-	7.63e-06
chr1	22052439	22052650	site311	14.2182	-	9.54e-06
chr1	22052440	22052651	site312	16.7273	+	1.67e-06
chr1	22221917	22222128	site313	16.4364	+	1.91e-06
chr1	22315442	22315653	site314	16.7455	-	1.43e-06
chr1	22463113	22463324	site315	15.0364	+	5.01e-06
chr1	22584949	22585160	site316	14.6364	-	6.91e-06
chr1	22663177	22663388	site317	15.2364	+	3.58e-06
chr1	22739658	22739869	site318	15.5455	+	2.86e-06
chr1	22838328	22838539	site319	14.3091	-	9.3e-06
chr1	22953220	22953431	site320	16.7455	-	1.43e-06
chr1	22953221	22953432	site321	15.1273	+	4.53e-06
chr1	23393874	23394085	site322	15.1273	+	4.53e-06
chr1	23778263	23778474	site323	17.4182	-	9.54e-07
chr1	23778264	23778475	site324	16.4364	+	1.91e-06
chr1	23902685	23902896	site325	15.0364	-	5.01e-06
chr1	23980361	23980572	site326	14.9636	+	5.25e-06
chr1	23980366	23980577	site327	14.6545	-	6.68e-06
chr1	23980383	23980594	site328	15.7455	-	2.15e-06
chr1	24502705	24502916	site329	16.7455	+	1.43e-06
chr1	24643044	24643255	site330	14.6364	-	6.91e-06
chr1	24744919	24745130	site331	17.7273	-	7.15e-07
chr1	24907240	24907451	site332	14.6545	+	6.68e-06
chr1	24929647	24929858	site333	14.4545	+	8.34e-06
chr1	25232538	25232749	site334	15.1273	-	4.53e-06
chr1	25239656	25239867	site335	15.1273	-	4.53e-06
chr1	25239657	25239868	site336	18.2364	+	2.38e-07
chr1	25247402	25247613	site337	16.4364	-	1.91e-06
chr1	25247403	25247614	site338	17.9273	+	4.77e-07
chr1	25247515	25247726	site339	17.9273	-	4.77e-07
chr1	25247516	25247727	site340	17.4182	+	9.54e-07
chr1	25549881	25550092	site341	14.6182	-	7.63e-06
chr1	26045822	26046033	site342	14.6182	-	7.63e-06
chr1	26225188	26225399	site343	15.1273	-	4.53e-06
chr1	26234329	26234540	site344	16.4364	+	1.91e-06
chr1	26432128	26432339	site345	16.7455	-	1.43e-06
chr1	26432129	26432340	site346	15.1273	+	4.53e-06
chr1	26471672	26471883	site347	15.1273	+	4.53e-06
chr1	26560070	26560281	site348	14.6545	+	6.68e-06
chr1	26787846	26788057	site349	17.7273	-	7.15e-07
chr1	26787847	26788058	site350	14.6182	+	7.63e-06
chr1	27234514	27234725	site351	16.7455	-	1.43e-06
chr1	27234515	27234726	site352	14.6182	+	7.63e-06
chr1	27399300	27399511	site353	15.0364	+	5.01e-06
chr1	27514035	27514246	site354	14.6182	-	7.63e-06
chr1	27531163	27531374	site355	16.7455	+	1.43e-06
chr1	27769285	27769496	site356	14.3091	+	9.3e-06
chr1	27773016	27773227	site357	18.2364	+	2.38e-07
chr1	28232928	28233139	site358	15.6364	-	2.62e-06
chr1	28328811	28329022	site359	17.9273	-	4.77e-07
chr1	28328812	28329023	site360	16.4364	+	1.91e-06
chr1	28369443	28369654	site361	14.3091	+	9.3e-06
chr1	28369952	28370163	site362	15.0364	-	5.01e-06
chr1	28505865	28506076	site363	17.2364	-	1.19e-06
chr1	28505866	28506077	site364	14.7273	+	6.44e-06
chr1	28518487	28518698	site365	15.0364	+	5.01e-06
chr1	28518492	28518703	site366	14.4545	-	8.34e-06
chr1	28552881	28553092	site367	15.5455	+	2.86e-06
chr1	28552941	28553152	site368	14.5273	+	8.11e-06
chr1	28643057	28643268	site369	18.2364	-	2.38e-07
chr1	28643058	28643269	site370	15.1273	+	4.53e-06
chr1	28648213	28648424	site371	14.6182	-	7.63e-06
chr1	28668678	28668889	site372	15.2364	-	3.58e-06
chr1	28668760	28668971	site373	14.5273	-	8.11e-06
chr1	28775238	28775449	site374	15.7455	+	2.15e-06
chr1	28862776	28862987	site375	15.1273	-	4.53e-06
chr1	28862777	28862988	site376	18.2364	+	2.38e-07
chr1	28863749	28863960	site377	14.3091	+	9.3e-06
chr1	28914207	28914418	site378	14.7273	-	6.44e-06
chr1	28914208	28914419	site379	17.2364	+	1.19e-06
chr1	29181364	29181575	site380	17.7273	-	7.15e-07
chr1	29181365	29181576	site381	15.1273	+	4.53e-06
chr1	29230863	29231074	site382	14.6182	-	7.63e-06
chr1	29230864	29231075	site383	16.7455	+	1.43e-06
chr1	29325118	29325329	site384	15.1273	-	4.53e-06
chr1	29325119	29325330	site385	16.7455	+	1.43e-06
chr1	29759751	29759962	site386	14.8182	+	5.96e-06
chr1	30718515	30718726	site387	15.4364	-	3.1e-06
chr1	30807785	30807996	site388	14.3091	+	9.3e-06
chr1	30824387	30824598	site389	15.2364	-	3.58e-06
chr1	31214654	31214865	site390	14.3091	+	9.3e-06
chr1	31714776	31714987	site391	16.7455	-	1.43e-06
chr1	31736511	31736722	site392	14.8182	-	5.96e-06
chr1	31742958	31743169	site393	14.6182	+	7.63e-06
chr1	31764260	31764471	site394	17.7273	+	7.15e-07
chr1	31764418	31764629	site395	14.9273	+	5.48e-06
chr1	31788065	31788276	site396	15.3273	+	3.34e-06
chr1	31870752	31870963	site397	14.3091	+	9.3e-06
chr1	31937848	31938059	site398	14.9273	+	5.48e-06
chr1	32013579	32013790	site399	17.4182	-	9.54e-07
chr1	32013580	32013791	site400	17.9273	+	4.77e-07
chr1	32013661	32013872	site401	18.2364	-	2.38e-07
chr1	32013734	32013945	site402	17.2364	-	1.19e-06
chr1	32013735	32013946	site403	14.2182	+	9.54e-06
chr1	32079573	32079784	site404	14.3091	-	9.3e-06
chr1	32179558	32179769	site405	14.9273	-	5.48e-06
chr1	32179793	32180004	site406	17.9273	-	4.77e-07
chr1	32179794	32180005	site407	17.4182	+	9.54e-07
chr1	32205507	32205718	site408	14.7273	-	6.44e-06
chr1	32251292	32251503	site409	16.7455	-	1.43e-06
chr1	32672174	32672385	site410	14.6182	+	7.63e-06
chr1	32712457	32712668	site411	16.4364	-	1.91e-06
chr1	32741234	32741445	site412	14.1636	-	9.78e-06
chr1	32760275	32760486	site413	17.9273	-	4.77e-07
chr1	32760276	32760487	site414	17.4182	+	9.54e-07
chr1	32881971	32882182	site415	16.7455	-	1.43e-06
chr1	32964395	32964606	site416	15.1273	+	4.53e-06
chr1	32964768	32964979	site417	18.2364	-	2.38e-07
chr1	33161457	33161668	site418	14.3091	+	9.3e-06
chr1	33307153	33307364	site419	17.9273	-	4.77e-07
chr1	33307154	33307365	site420	17.4182	+	9.54e-07
chr1	33430853	33431064	site421	16.7273	-	1.67e-06
chr1	34202901	34203112	site422	15.2364	+	3.58e-06
chr1	34794546	34794757	site423	14.8182	-	5.96e-06
chr1	35031839	35032050	site424	15.6364	+	2.62e-06
chr1	35079232	35079443	site425	15.2364	-	3.58e-06
chr1	35191771	35191982	site426	15.1273	-	4.53e-06
chr1	35192005	35192216	site427	15.1455	-	3.81e-06
chr1	35268574	35268785	site428	15.1273	-	4.53e-06
chr1	35268575	35268786	site429	18.2364	+	2.38e-07
chr1	35352153	35352364	site430	16.7273	-	1.67e-06
chr1	35352154	35352365	site431	14.2182	+	9.54e-06
chr1	35574108	35574319	site432	14.6182	-	7.63e-06
chr1	35640682	35640893	site433	14.6182	-	7.63e-06
chr1	35883097	35883308	site434	14.6182	-	7.63e-06
chr1	35883098	35883309	site435	18.2364	+	2.38e-07
chr1	35883907	35884118	site436	14.7273	+	6.44e-06
chr1	36149393	36149604	site437	15.1273	-	4.53e-06
chr1	36149394	36149605	site438	17.7273	+	7.15e-07
chr1	36568167	36568378	site439	14.6182	-	7.63e-06
chr1	36568173	36568384	site440	16.7455	-	1.43e-06
chr1	36693756	36693967	site441	15.3273	+	3.34e-06
chr1	37514720	37514931	site442	15.1273	-	4.53e-06
chr1	37514721	37514932	site443	17.7273	+	7.15e-07
chr1	37690422	37690633	site444	15.2364	-	3.58e-06
chr1	37794158	37794369	site445	14.5455	-	7.87e-06
chr1	37794372	37794583	site446	15.0364	+	5.01e-06
chr1	37807838	37808049	site447	14.9273	+	5.48e-06
chr1	37808381	37808592	site448	15.1455	-	3.81e-06
chr1	38039657	38039868	site449	14.2182	-	9.54e-06
chr1	38039658	38039869	site450	17.2364	+	1.19e-06
chr1	38039663	38039874	site451	17.2364	-	1.19e-06
chr1	38039664	38039875	site452	14.2182	+	9.54e-06
chr1	38042007	38042218	site453	14.4545	-	8.34e-06
chr1	38046156	38046367	site454	14.4545	+	8.34e-06
chr1	38489813	38490024	site455	15.2364	+	3.58e-06
chr1	38818299	38818510	site456	14.6182	+	7.63e-06
chr1	38873289	38873500	site457	14.6182	-	7.63e-06
chr1	38873290	38873501	site458	18.2364	+	2.38e-07
chr1	39492281	39492492	site459	14.3091	-	9.3e-06
chr1	39608995	39609206	site460	15.3273	-	3.34e-06
chr1	39610153	39610364	site461	15.0364	+	5.01e-06
chr1	39683816	39684027	site462	14.5273	+	8.11e-06
chr1	39787984	39788195	site463	14.3091	+	9.3e-06
chr1	39883404	39883615	site464	14.1636	+	9.78e-06
chr1	39883444	39883655	site465	15.1273	-	4.53e-06
chr1	39883445	39883656	site466	17.7273	+	7.15e-07
chr1	39941811	39942022	site467	15.2364	-	3.58e-06
chr1	40249203	40249414	site468	17.4182	-	9.54e-07
chr1	40249204	40249415	site469	17.9273	+	4.77e-07
chr1	40373565	40373776	site470	16.4364	-	1.91e-06
chr1	40373566	40373777	site471	17.4182	+	9.54e-07
chr1	40449954	40450165	site472	18.2364	-	2.38e-07
chr1	40449955	40450166	site473	15.1273	+	4.53e-06
chr1	40979522	40979733	site474	14.6182	-	7.63e-06
chr1	40979523	40979734	site475	18.2364	+	2.38e-07
chr1	41241864	41242075	site476	15.1273	+	4.53e-06
chr1	41662129	41662340	site477	14.5273	+	8.11e-06
chr1	42035639	42035850	site478	14.5273	+	8.11e-06
chr1	42036025	42036236	site479	15.7455	+	2.15e-06
chr1	42456437	42456648	site480	18.2364	-	2.38e-07
chr1	42766978	42767189	site481	14.3091	+	9.3e-06
chr1	42767155	42767366	site482	15.5455	-	2.86e-06
chr1	42817284	42817495	site483	14.2182	-	9.54e-06
chr1	42817285	42817496	site484	17.2364	+	1.19e-06
chr1	42924542	42924753	site485	15.1273	-	4.53e-06
chr1	43305026	43305237	site486	15.7455	-	2.15e-06
