motif_id	motif_alt_id	sequence_name	start	stop	strand	score	p-value	q-value	matched_sequence
MA0506.1	NRF1	chr1	6235973	6235983	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	6235974	6235984	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	6268561	6268571	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	6278227	6278237	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	6350374	6350384	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	6419669	6419679	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	6454998	6455008	+	14.5273	8.11e-06		
MA0506.1	NRF1	chr1	6461452	6461462	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	6471171	6471181	-	15.6545	2.38e-06		
MA0506.1	NRF1	chr1	6490612	6490622	-	14.5273	8.11e-06		
MA0506.1	NRF1	chr1	6502581	6502591	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	6562458	6562468	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	6613974	6613984	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	6701940	6701950	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	6899539	6899549	-	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	6899540	6899550	+	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	7098136	7098146	-	15.3273	3.34e-06		
MA0506.1	NRF1	chr1	7448476	7448486	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	7624202	7624212	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	7680481	7680491	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	8026246	8026256	-	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	8127326	8127336	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	8382439	8382449	-	15.3273	3.34e-06		
MA0506.1	NRF1	chr1	8458566	8458576	-	17.9273	4.77e-07		
MA0506.1	NRF1	chr1	8458567	8458577	+	17.4182	9.54e-07		
MA0506.1	NRF1	chr1	8703232	8703242	+	14.4364	8.58e-06		
MA0506.1	NRF1	chr1	8879293	8879303	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	8879294	8879304	+	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	9198800	9198810	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	9428885	9428895	-	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	9428886	9428896	+	17.9273	4.77e-07		
MA0506.1	NRF1	chr1	9453592	9453602	+	15.3273	3.34e-06		
MA0506.1	NRF1	chr1	9652197	9652207	+	15.7455	2.15e-06		
MA0506.1	NRF1	chr1	9960898	9960908	+	15.3273	3.34e-06		
MA0506.1	NRF1	chr1	10032820	10032830	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	10210595	10210605	+	14.5273	8.11e-06		
MA0506.1	NRF1	chr1	10430687	10430697	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10430692	10430702	-	15.3273	3.34e-06		
MA0506.1	NRF1	chr1	10796642	10796652	-	17.4182	9.54e-07		
MA0506.1	NRF1	chr1	10937289	10937299	+	14.5455	7.87e-06		
MA0506.1	NRF1	chr1	11099885	11099895	+	14.6364	6.91e-06		
MA0506.1	NRF1	chr1	11658796	11658806	-	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	12053500	12053510	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	12191342	12191352	-	15.2364	3.58e-06		
MA0506.1	NRF1	chr1	12197088	12197098	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	12728013	12728023	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	13700873	13700883	-	17.2364	1.19e-06		
MA0506.1	NRF1	chr1	13700874	13700884	+	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	13749186	13749196	+	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	13787253	13787263	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	14924328	14924338	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	14959714	14959724	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	15153398	15153408	-	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	15153399	15153409	+	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	15182362	15182372	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	15383015	15383025	-	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	15383016	15383026	+	14.7273	6.44e-06		
MA0506.1	NRF1	chr1	15835854	15835864	-	17.4182	9.54e-07		
MA0506.1	NRF1	chr1	15835855	15835865	+	17.4182	9.54e-07		
MA0506.1	NRF1	chr1	15836000	15836010	-	15.1455	3.81e-06		
MA0506.1	NRF1	chr1	15836082	15836092	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	15836083	15836093	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	15837301	15837311	+	14.4545	8.34e-06		
MA0506.1	NRF1	chr1	15847514	15847524	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	15847515	15847525	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	15847589	15847599	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	15847590	15847600	+	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	15847807	15847817	-	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	15932996	15933006	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	15976126	15976136	-	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	15976127	15976137	+	17.9273	4.77e-07		
MA0506.1	NRF1	chr1	16226944	16226954	-	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	16226945	16226955	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	16227088	16227098	-	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	16352483	16352493	-	17.4182	9.54e-07		
MA0506.1	NRF1	chr1	16352484	16352494	+	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	16367210	16367220	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	16499174	16499184	-	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	16499175	16499185	+	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	16534558	16534568	+	14.5455	7.87e-06		
MA0506.1	NRF1	chr1	16613550	16613560	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	16613551	16613561	+	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	16613613	16613623	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	16613614	16613624	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	16613686	16613696	-	14.4545	8.34e-06		
MA0506.1	NRF1	chr1	16644754	16644764	-	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	16644755	16644765	+	14.7273	6.44e-06		
MA0506.1	NRF1	chr1	16873365	16873375	-	14.5455	7.87e-06		
MA0506.1	NRF1	chr1	16889514	16889524	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	16914155	16914165	-	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	16914156	16914166	+	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	16971557	16971567	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	16974294	16974304	+	14.8182	5.96e-06		
MA0506.1	NRF1	chr1	17054200	17054210	+	14.5455	7.87e-06		
MA0506.1	NRF1	chr1	17054225	17054235	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	17134892	17134902	+	14.6545	6.68e-06		
MA0506.1	NRF1	chr1	17134897	17134907	-	17.2364	1.19e-06		
MA0506.1	NRF1	chr1	17134898	17134908	+	14.7273	6.44e-06		
MA0506.1	NRF1	chr1	17272218	17272228	+	15.2364	3.58e-06		
MA0506.1	NRF1	chr1	17437672	17437682	+	14.7273	6.44e-06		
MA0506.1	NRF1	chr1	17539746	17539756	+	14.4364	8.58e-06		
MA0506.1	NRF1	chr1	18108204	18108214	-	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	18248994	18249004	+	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	18550582	18550592	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	18591488	18591498	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	18726001	18726011	-	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	18726002	18726012	+	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	19210495	19210505	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	19312132	19312142	+	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	19882375	19882385	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	19882380	19882390	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	19882381	19882391	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	20136431	20136441	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	20223949	20223959	-	15.2364	3.58e-06		
MA0506.1	NRF1	chr1	20473299	20473309	+	15.3273	3.34e-06		
MA0506.1	NRF1	chr1	20500935	20500945	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	20552411	20552421	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	20553517	20553527	+	14.4364	8.58e-06		
MA0506.1	NRF1	chr1	20633442	20633452	+	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	20633447	20633457	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	20633448	20633458	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	20682800	20682810	+	14.1636	9.78e-06		
MA0506.1	NRF1	chr1	20721030	20721040	+	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	20786812	20786822	+	15.2364	3.58e-06		
MA0506.1	NRF1	chr1	21345630	21345640	+	14.5273	8.11e-06		
MA0506.1	NRF1	chr1	21384876	21384886	+	15.2364	3.58e-06		
MA0506.1	NRF1	chr1	21428237	21428247	-	14.4364	8.58e-06		
MA0506.1	NRF1	chr1	21440052	21440062	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	21440053	21440063	+	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	21440116	21440126	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	21440117	21440127	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	21440122	21440132	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	21440123	21440133	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	21622683	21622693	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	21622684	21622694	+	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	21651741	21651751	-	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	21783221	21783231	+	17.4182	9.54e-07		
MA0506.1	NRF1	chr1	21927020	21927030	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	22052540	22052550	-	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	22052541	22052551	+	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	22222018	22222028	+	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	22315543	22315553	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	22463214	22463224	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	22585050	22585060	-	14.6364	6.91e-06		
MA0506.1	NRF1	chr1	22663278	22663288	+	15.2364	3.58e-06		
MA0506.1	NRF1	chr1	22739759	22739769	+	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	22838429	22838439	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	22953321	22953331	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	22953322	22953332	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	23393975	23393985	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	23778364	23778374	-	17.4182	9.54e-07		
MA0506.1	NRF1	chr1	23778365	23778375	+	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	23902786	23902796	-	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	23980462	23980472	+	14.9636	5.25e-06		
MA0506.1	NRF1	chr1	23980467	23980477	-	14.6545	6.68e-06		
MA0506.1	NRF1	chr1	23980484	23980494	-	15.7455	2.15e-06		
MA0506.1	NRF1	chr1	24502806	24502816	+	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	24643145	24643155	-	14.6364	6.91e-06		
MA0506.1	NRF1	chr1	24745020	24745030	-	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	24907341	24907351	+	14.6545	6.68e-06		
MA0506.1	NRF1	chr1	24929748	24929758	+	14.4545	8.34e-06		
MA0506.1	NRF1	chr1	25232639	25232649	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	25239757	25239767	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	25239758	25239768	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	25247503	25247513	-	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	25247504	25247514	+	17.9273	4.77e-07		
MA0506.1	NRF1	chr1	25247616	25247626	-	17.9273	4.77e-07		
MA0506.1	NRF1	chr1	25247617	25247627	+	17.4182	9.54e-07		
MA0506.1	NRF1	chr1	25549982	25549992	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	26045923	26045933	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	26225289	26225299	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	26234430	26234440	+	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	26432229	26432239	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	26432230	26432240	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	26471773	26471783	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	26560171	26560181	+	14.6545	6.68e-06		
MA0506.1	NRF1	chr1	26787947	26787957	-	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	26787948	26787958	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	27234615	27234625	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	27234616	27234626	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	27399401	27399411	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	27514136	27514146	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	27531264	27531274	+	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	27769386	27769396	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	27773117	27773127	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	28233029	28233039	-	15.6364	2.62e-06		
MA0506.1	NRF1	chr1	28328912	28328922	-	17.9273	4.77e-07		
MA0506.1	NRF1	chr1	28328913	28328923	+	16.4364	1.91e-06		
